dataset,run_tag,test_idx,p_before,p_after,slack,flipped,fairness_attr,group_val,sex,race,education-num_before,education-num_after,delta_education-num,w_education-num,hours-per-week_before,hours-per-week_after,delta_hours-per-week,w_hours-per-week,capital-gain_before,capital-gain_after,delta_capital-gain,w_capital-gain,capital-loss_before,capital-loss_after,delta_capital-loss,w_capital-loss,workclass_before,workclass_after,w_workclass_step,occupation_before,occupation_after,w_occupation_step,burden_total
adult,base,556,0.17301208202622045,0.5000745564355574,0.0,1,sex,Male,Male,Black,8.0,8.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,4770.0,4770.0,1.5,0.0,0.0,0.0,1.0,Self-emp-not-inc,Self-emp-not-inc,2.0,Handlers-cleaners,Handlers-cleaners,2.0,0.04770047700477005
adult,base,2892,0.2938902942726982,0.5000683623099966,0.0,1,sex,Male,Male,White,4.0,4.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,2673.0,2673.0,1.5,0.0,0.0,0.0,1.0,Local-gov,Local-gov,2.0,Craft-repair,Craft-repair,2.0,0.026730267302673028
adult,base,3319,0.41092547576482324,0.5000103963996153,0.0,1,sex,Female,Female,White,14.0,14.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,1098.0,1098.0,1.5,1380.0,1380.0,0.0,1.0,Local-gov,Local-gov,2.0,Prof-specialty,Prof-specialty,2.0,0.010980109801098011
adult,base,4265,0.008382704657955646,0.5000176115302235,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,20.0,20.0,0.0,1.0,0.0,14551.0,14551.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Adm-clerical,Adm-clerical,2.0,0.14551145511455116
adult,base,4012,0.3708462919823538,0.500051117586123,0.0,1,sex,Female,Female,Asian-Pac-Islander,9.0,9.0,0.0,2.0,35.0,35.0,0.0,1.0,0.0,1612.0,1612.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Adm-clerical,Adm-clerical,2.0,0.016120161201612016
adult,base,3305,0.027242046865544444,0.5000519186398102,0.0,1,sex,Female,Female,White,10.0,10.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,10900.0,10900.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Adm-clerical,Adm-clerical,2.0,0.10900109001090011
adult,base,2101,0.418502111883306,0.5000234216308072,0.0,1,sex,Female,Female,White,14.0,14.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,1003.0,1003.0,1.5,1590.0,1590.0,0.0,1.0,Private,Private,2.0,Prof-specialty,Prof-specialty,2.0,0.01003010030100301
adult,base,1726,0.1797955918999543,0.5000212238993607,0.0,1,sex,Male,Male,White,13.0,13.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,4627.0,4627.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.04627046270462705
adult,base,5204,0.009765523305449475,0.5000762645959355,0.0,1,sex,Male,Male,White,5.0,5.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,14082.0,14082.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Other-service,Other-service,2.0,0.14082140821408215
adult,base,5201,0.01677918840362637,0.5000549444519481,0.0,1,sex,Female,Female,Black,6.0,6.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,12410.0,12410.0,1.5,0.0,0.0,0.0,1.0,State-gov,State-gov,2.0,Other-service,Other-service,2.0,0.12410124101241013
adult,base,4581,0.002735013618729218,0.5000432602901683,0.0,1,sex,Female,Female,White,10.0,10.0,0.0,2.0,10.0,10.0,0.0,1.0,0.0,17983.0,17983.0,1.5,0.0,0.0,0.0,1.0,State-gov,State-gov,2.0,Adm-clerical,Adm-clerical,2.0,0.17983179831798318
adult,base,1985,0.034876519103296075,0.5000639758245782,0.0,1,sex,Male,Male,White,10.0,10.0,0.0,2.0,35.0,35.0,0.0,1.0,0.0,10123.0,10123.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Sales,Sales,2.0,0.1012310123101231
adult,base,5814,0.22166274732801536,0.500010778277608,0.0,1,sex,Female,Female,White,13.0,13.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,3829.0,3829.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Prof-specialty,Prof-specialty,2.0,0.03829038290382904
adult,base,5570,0.012872197823843497,0.50004327993583,0.0,1,sex,Male,Male,White,7.0,7.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,13230.0,13230.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Craft-repair,Craft-repair,2.0,0.13230132301323014
adult,base,5922,0.05609758676762941,0.500034773802817,0.0,1,sex,Female,Female,Black,10.0,10.0,0.0,2.0,40.0,40.0,0.0,1.0,0.0,8606.0,8606.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Exec-managerial,Exec-managerial,2.0,0.08606086060860609
adult,base,4200,0.4485185134714348,0.500000932832423,0.0,1,sex,Male,Male,White,10.0,10.0,0.0,2.0,45.0,45.0,0.0,1.0,0.0,630.0,630.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Machine-op-inspct,Machine-op-inspct,2.0,0.006300063000630006
adult,base,5211,0.07085143647564987,0.5000197733362669,0.0,1,sex,Male,Male,White,9.0,9.0,0.0,2.0,45.0,45.0,0.0,1.0,0.0,7846.0,7846.0,1.5,0.0,0.0,0.0,1.0,Private,Private,2.0,Machine-op-inspct,Machine-op-inspct,2.0,0.07846078460784608
