test_idx,group_col,group_val,age_bucket,p_before,p_after,slack,flipped,duration_before,duration_after,credit_amount_before,credit_amount_after,delta_duration,delta_credit_amount,checking_status_before,checking_status_after,savings_status_before,savings_status_after,w_credit_amount,w_duration,w_check_step,w_save_step
166,age_bucket,41-60,41-60,0.4136303707415696,0.5489742408144865,0.0,1,18.0,18.0,1217.0,1217.0,0.0,0.0,A11,A11,A61,A62,1.5,1.1,0.15,0.15
71,age_bucket,26-40,26-40,0.2338191561936704,0.5430149776633991,0.0,1,48.0,48.0,6681.0,6681.0,0.0,0.0,A12,A14,A65,A65,1.5,1.1,0.15,0.15
146,age_bucket,le25,le25,0.2549966415200551,0.5000059122590285,0.0,1,15.0,14.0,1433.0,341.0,-1.0,-1092.0,A11,A12,A61,A62,1.0,1.0,0.25,0.25
151,age_bucket,26-40,26-40,0.11990743445428781,0.5000315350701692,0.0,1,36.0,36.0,2862.0,2838.0,0.0,-24.0,A12,A14,A62,A64,1.5,1.1,0.15,0.15
99,age_bucket,26-40,26-40,0.1414974199865841,0.5000167547615871,0.0,1,24.0,21.0,3161.0,3105.0,-3.0,-56.0,A11,A14,A61,A61,1.5,1.1,0.15,0.15
172,age_bucket,41-60,41-60,0.15015140386939735,0.5000102913746177,0.0,1,36.0,22.0,12612.0,12494.0,-14.0,-118.0,A12,A14,A62,A62,1.5,1.1,0.15,0.15
101,age_bucket,26-40,26-40,0.40798962379508585,0.543197601907628,0.0,1,36.0,36.0,8229.0,8229.0,0.0,0.0,A11,A11,A61,A62,1.5,1.1,0.15,0.15
90,age_bucket,le25,le25,0.3269602739754661,0.5000141106241327,0.0,1,24.0,23.0,1546.0,382.0,-1.0,-1164.0,A11,A11,A61,A62,1.0,1.0,0.25,0.25
1,age_bucket,26-40,26-40,0.06517777088044202,0.5000164074452346,0.0,1,36.0,4.0,3990.0,2483.0,-32.0,-1507.0,A12,A14,A65,A65,1.5,1.1,0.15,0.15
75,age_bucket,26-40,26-40,0.13502430385221798,0.5000242994587698,0.0,1,18.0,13.0,1940.0,1860.0,-5.0,-80.0,A11,A14,A61,A61,1.5,1.1,0.15,0.15
160,age_bucket,26-40,26-40,0.17594365264238504,0.5000317654631028,0.0,1,36.0,29.0,4795.0,4753.0,-7.0,-42.0,A12,A14,A61,A61,1.5,1.1,0.15,0.15
181,age_bucket,41-60,41-60,0.233728996096971,0.5428900713612932,0.0,1,36.0,36.0,3804.0,3804.0,0.0,0.0,A12,A14,A61,A61,1.5,1.1,0.15,0.15
145,age_bucket,le25,le25,0.1455614701500829,0.5337025982145697,0.0,1,12.0,12.0,1295.0,1295.0,0.0,0.0,A12,A14,A61,A62,1.0,1.0,0.25,0.25
152,age_bucket,le25,le25,0.47767681835198583,0.5000230520507317,0.0,1,24.0,24.0,2996.0,2306.0,0.0,-690.0,A11,A11,A65,A65,1.0,1.0,0.25,0.25
46,age_bucket,26-40,26-40,0.2872747332034874,0.6108055399284702,0.0,1,24.0,24.0,2333.0,2333.0,0.0,0.0,A12,A14,A65,A65,1.5,1.1,0.15,0.15
136,age_bucket,26-40,26-40,0.38783387327976704,0.5000063483745069,0.0,1,24.0,21.0,2359.0,2204.0,-3.0,-155.0,A11,A12,A62,A62,1.5,1.1,0.15,0.15
125,age_bucket,le25,le25,0.20537697710394492,0.5000052980001086,0.0,1,24.0,23.0,3758.0,887.0,-1.0,-2871.0,A12,A12,A63,A64,1.0,1.0,0.25,0.25
52,age_bucket,26-40,26-40,0.16205537078321255,0.5189448728666409,0.0,1,24.0,24.0,1938.0,1938.0,0.0,0.0,A11,A14,A61,A61,1.5,1.1,0.15,0.15
126,age_bucket,le25,le25,0.3391885597030802,0.5566320886190476,0.0,1,24.0,24.0,5152.0,5152.0,0.0,0.0,A13,A14,A61,A61,1.0,1.0,0.25,0.25
77,age_bucket,le25,le25,0.14796346681016484,0.500010975342494,0.0,1,24.0,24.0,5743.0,2724.0,0.0,-3019.0,A12,A14,A61,A61,1.0,1.0,0.25,0.25
134,age_bucket,26-40,26-40,0.0265281861088206,0.5000102137678688,0.0,1,36.0,9.0,6887.0,6768.0,-27.0,-119.0,A11,A14,A61,A64,1.5,1.1,0.15,0.15
175,age_bucket,le25,le25,0.3916972406135555,0.5000095403217335,0.0,1,24.0,24.0,11560.0,8164.0,0.0,-3396.0,A12,A12,A61,A61,1.0,1.0,0.25,0.25
137,age_bucket,26-40,26-40,0.1416650713585608,0.5000318817163352,0.0,1,48.0,31.0,5381.0,5330.0,-17.0,-51.0,A12,A14,A65,A65,1.5,1.1,0.15,0.15
4,age_bucket,26-40,26-40,0.17638411301023896,0.5000127222654326,0.0,1,36.0,29.0,12389.0,12371.0,-7.0,-18.0,A12,A14,A65,A65,1.5,1.1,0.15,0.15
