test_idx,p_before,p_after,slack,flipped,sex,age_bucket,fairness_attr,group_val,cost_multiplier,checking_status_before,checking_status_after,savings_status_before,savings_status_after,duration_before,duration_after,credit_amount_before,credit_amount_after
162,0.24524187613148687,0.5000165351870447,0.0,1,male,41-60,sex,male,1.0,A11,A11,A61,A62,36.0,27.0,3446.0,761.0
145,0.1455614701500829,0.5337025982145697,0.0,1,female,<=25,sex,female,1.0,A12,A14,A61,A62,12.0,12.0,1295.0,1295.0
4,0.17638411301023896,0.5000142168687725,0.0,1,male,26-40,sex,male,1.0,A12,A14,A65,A65,36.0,36.0,12389.0,10987.0
77,0.1479634668101649,0.500010975342494,0.0,1,female,<=25,sex,female,1.0,A12,A14,A61,A61,24.0,24.0,5743.0,2724.0
183,0.44947493684087997,0.5000194332934645,0.0,1,male,<=25,sex,male,1.0,A12,A12,A62,A62,45.0,45.0,3031.0,1466.0
8,0.14188368320129424,0.5000290223229633,0.0,1,female,26-40,sex,female,1.0,A11,A14,A61,A61,18.0,18.0,3114.0,2489.0
92,0.49486086850027994,0.5000134589824083,0.0,1,female,26-40,sex,female,1.0,A12,A12,A61,A61,48.0,48.0,5096.0,4937.0
76,0.10749081537592603,0.5270116421272981,0.0,1,female,<=25,sex,female,1.0,A12,A14,A64,A64,6.0,6.0,433.0,433.0
126,0.33918855970308015,0.5566320886190476,0.0,1,male,<=25,sex,male,1.0,A13,A14,A61,A61,24.0,24.0,5152.0,5152.0
46,0.2872747332034874,0.500022508369937,0.0,1,male,26-40,sex,male,1.0,A12,A13,A65,A65,24.0,16.0,2333.0,491.0
95,0.22476496185612801,0.5329039929467257,0.0,1,male,41-60,sex,male,1.0,A11,A13,A61,A62,12.0,12.0,339.0,338.99999999999966
75,0.13502430385221803,0.5000068485367756,0.0,1,male,26-40,sex,male,1.0,A11,A14,A61,A61,18.0,18.0,1940.0,872.0
73,0.26232151737016607,0.5000055114250188,0.0,1,male,41-60,sex,male,1.0,A11,A12,A61,A62,12.0,12.0,1344.0,349.0
90,0.3269602739754663,0.5000141106241327,0.0,1,male,<=25,sex,male,1.0,A11,A11,A61,A62,24.0,23.0,1546.0,382.0
118,0.1002187666451943,0.5000082395461282,0.0,1,male,41-60,sex,male,1.0,A11,A14,A61,A61,24.0,24.0,6872.0,3200.0
68,0.17370584211203768,0.5397266388580135,0.0,1,male,41-60,sex,male,1.0,A11,A14,A61,A61,18.0,18.0,1553.0,1553.0
83,0.3597039721955821,0.500024039153353,0.0,1,female,26-40,sex,female,1.0,A11,A11,A61,A62,21.0,21.0,3599.0,3358.0
1,0.06517777088044202,0.500027374811231,0.0,1,female,26-40,sex,female,1.0,A12,A14,A65,A65,36.0,12.0,3990.0,901.0
97,0.0946585474025624,0.5015746003358657,0.0,1,female,<=25,sex,female,1.0,A11,A14,A61,A62,24.0,23.999999999999996,1442.0,1442.0
190,0.34856509436316285,0.566863215003073,0.0,1,male,26-40,sex,male,1.0,A13,A14,A61,A61,12.0,12.0,1330.0,1330.0
166,0.4136303707415697,0.5000081994212341,0.0,1,male,41-60,sex,male,1.0,A11,A11,A61,A61,18.0,9.0,1217.0,304.0
