test_idx,p_before,p_after,slack,flipped,sex,age_bucket,fairness_attr,group_val,duration_before,duration_after,credit_amount_before,credit_amount_after,delta_duration,delta_credit_amount,checking_status_before,checking_status_after,savings_status_before,savings_status_after,w_credit_amount,w_duration,w_check_step,w_save_step
162,0.24524187613148687,0.5000165351870447,0.0,1,male,41-60,age_bucket,41-60,36.0,27.0,3446.0,761.0,-9.0,-2685.0,A11,A11,A61,A62,1.0,1.0,0.25,0.25
145,0.1455614701500829,0.5337025982145697,0.0,1,female,le25,age_bucket,le25,12.0,12.0,1295.0,1295.0,0.0,0.0,A12,A14,A61,A62,1.0,1.0,0.25,0.25
4,0.17638411301023896,0.5000142168687725,0.0,1,male,26-40,age_bucket,26-40,36.0,36.0,12389.0,10987.0,0.0,-1402.0,A12,A14,A65,A65,1.0,1.0,0.25,0.25
77,0.1479634668101649,0.500010975342494,0.0,1,female,le25,age_bucket,le25,24.0,24.0,5743.0,2724.0,0.0,-3019.0,A12,A14,A61,A61,1.0,1.0,0.25,0.25
183,0.44947493684087997,0.5000194332934645,0.0,1,male,le25,age_bucket,le25,45.0,45.0,3031.0,1466.0,0.0,-1565.0,A12,A12,A62,A62,1.0,1.0,0.25,0.25
8,0.14188368320129424,0.5000290223229633,0.0,1,female,26-40,age_bucket,26-40,18.0,18.0,3114.0,2489.0,0.0,-625.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
92,0.49486086850027994,0.5000134589824083,0.0,1,female,26-40,age_bucket,26-40,48.0,48.0,5096.0,4937.0,0.0,-159.0,A12,A12,A61,A61,1.0,1.0,0.25,0.25
76,0.10749081537592603,0.5270116421272981,0.0,1,female,le25,age_bucket,le25,6.0,6.0,433.0,433.0,0.0,0.0,A12,A14,A64,A64,1.0,1.0,0.25,0.25
126,0.33918855970308015,0.5566320886190476,0.0,1,male,le25,age_bucket,le25,24.0,24.0,5152.0,5152.0,0.0,0.0,A13,A14,A61,A61,1.0,1.0,0.25,0.25
46,0.2872747332034874,0.500022508369937,0.0,1,male,26-40,age_bucket,26-40,24.0,16.0,2333.0,491.0,-8.0,-1842.0,A12,A13,A65,A65,1.0,1.0,0.25,0.25
95,0.22476496185612801,0.5329039929467257,0.0,1,male,41-60,age_bucket,41-60,12.0,12.0,339.0,338.99999999999966,0.0,-3.410605131648481e-13,A11,A13,A61,A62,1.0,1.0,0.25,0.25
75,0.13502430385221803,0.5000068485367756,0.0,1,male,26-40,age_bucket,26-40,18.0,18.0,1940.0,872.0,0.0,-1068.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
73,0.26232151737016607,0.5000055114250188,0.0,1,male,41-60,age_bucket,41-60,12.0,12.0,1344.0,349.0,0.0,-995.0,A11,A12,A61,A62,1.0,1.0,0.25,0.25
90,0.3269602739754663,0.5000141106241327,0.0,1,male,le25,age_bucket,le25,24.0,23.0,1546.0,382.0,-1.0,-1164.0,A11,A11,A61,A62,1.0,1.0,0.25,0.25
118,0.1002187666451943,0.5000082395461282,0.0,1,male,41-60,age_bucket,41-60,24.0,24.0,6872.0,3200.0,0.0,-3672.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
68,0.17370584211203768,0.5397266388580135,0.0,1,male,41-60,age_bucket,41-60,18.0,18.0,1553.0,1553.0,0.0,0.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
83,0.3597039721955821,0.500024039153353,0.0,1,female,26-40,age_bucket,26-40,21.0,21.0,3599.0,3358.0,0.0,-241.0,A11,A11,A61,A62,1.0,1.0,0.25,0.25
1,0.06517777088044202,0.500027374811231,0.0,1,female,26-40,age_bucket,26-40,36.0,12.0,3990.0,901.0,-24.0,-3089.0,A12,A14,A65,A65,1.0,1.0,0.25,0.25
97,0.0946585474025624,0.5015746003358657,0.0,1,female,le25,age_bucket,le25,24.0,23.999999999999996,1442.0,1442.0,-3.552713678800501e-15,0.0,A11,A14,A61,A62,1.0,1.0,0.25,0.25
190,0.34856509436316285,0.566863215003073,0.0,1,male,26-40,age_bucket,26-40,12.0,12.0,1330.0,1330.0,0.0,0.0,A13,A14,A61,A61,1.0,1.0,0.25,0.25
166,0.4136303707415697,0.5000081994212341,0.0,1,male,41-60,age_bucket,41-60,18.0,9.0,1217.0,304.0,-9.0,-913.0,A11,A11,A61,A61,1.0,1.0,0.25,0.25
146,0.2549966415200551,0.5000059122590285,0.0,1,female,le25,age_bucket,le25,15.0,14.0,1433.0,341.0,-1.0,-1092.0,A11,A12,A61,A62,1.0,1.0,0.25,0.25
125,0.20537697710394484,0.5000052980001086,0.0,1,female,le25,age_bucket,le25,24.0,23.0,3758.0,887.0,-1.0,-2871.0,A12,A12,A63,A64,1.0,1.0,0.25,0.25
45,0.02732017063868509,0.5000261942168488,0.0,1,female,41-60,age_bucket,41-60,60.0,33.0,14782.0,3047.0,-27.0,-11735.0,A12,A14,A62,A62,1.0,1.0,0.25,0.25
14,0.46335902393289496,0.5000107690467478,0.0,1,female,26-40,age_bucket,26-40,15.0,15.0,5324.0,4191.0,0.0,-1133.0,A14,A14,A63,A63,1.0,1.0,0.25,0.25
135,0.48607286924929427,0.5000044338482661,0.0,1,male,le25,age_bucket,le25,12.0,12.0,1007.0,577.0,0.0,-430.0,A12,A12,A64,A64,1.0,1.0,0.25,0.25
52,0.16205537078321255,0.5189448728666409,0.0,1,male,26-40,age_bucket,26-40,24.0,24.0,1938.0,1938.0,0.0,0.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
180,0.04805134776534927,0.5000212702720831,0.0,1,male,41-60,age_bucket,41-60,48.0,29.999999999999996,6224.0,1440.0,-18.000000000000004,-4784.0,A12,A14,A61,A62,1.0,1.0,0.25,0.25
71,0.23381915619367055,0.5430149776633991,0.0,1,male,26-40,age_bucket,26-40,48.0,48.0,6681.0,6681.0,0.0,0.0,A12,A14,A65,A65,1.0,1.0,0.25,0.25
196,0.32112455681765184,0.5000063650475903,0.0,1,male,26-40,age_bucket,26-40,20.0,20.0,2629.0,1062.0,0.0,-1567.0,A12,A12,A61,A62,1.0,1.0,0.25,0.25
168,0.29770855219441716,0.5000013361449812,0.0,1,male,41-60,age_bucket,41-60,36.0,35.0,8086.0,1663.0,-1.0,-6423.0,A12,A12,A62,A62,1.0,1.0,0.25,0.25
27,0.33790145232012203,0.5000292091997364,0.0,1,female,26-40,age_bucket,26-40,18.0,18.0,12976.0,7786.0,0.0,-5190.0,A12,A12,A61,A61,1.0,1.0,0.25,0.25
160,0.17594365264238504,0.5000008526987872,0.0,1,female,26-40,age_bucket,26-40,36.0,36.0,4795.0,3370.0,0.0,-1425.0,A12,A14,A61,A61,1.0,1.0,0.25,0.25
12,0.38858813797566716,0.5000293268789888,0.0,1,male,26-40,age_bucket,26-40,27.0,25.0,3915.0,813.0,-2.0,-3102.0,A12,A12,A61,A61,1.0,1.0,0.25,0.25
159,0.15995100133425127,0.5150547088446608,0.0,1,female,le25,age_bucket,le25,12.0,12.0,652.0,652.0,0.0,0.0,A11,A14,A61,A61,1.0,1.0,0.25,0.25
2,0.1937526182688948,0.5000120041319766,0.0,1,male,41-60,age_bucket,41-60,48.0,48.0,12204.0,11691.0,0.0,-513.0,A12,A14,A65,A65,1.0,1.0,0.25,0.25
87,0.4751720064439516,0.500030955562187,0.0,1,male,26-40,age_bucket,26-40,36.0,35.0,909.0,339.0,-1.0,-570.0,A14,A14,A63,A63,1.0,1.0,0.25,0.25
186,0.1563552337600759,0.5000296799828714,0.0,1,male,26-40,age_bucket,26-40,24.0,16.0,1201.0,265.0,-8.0,-936.0,A12,A14,A61,A61,1.0,1.0,0.25,0.25
