SEX,AGE
2,24
2,26
2,34
2,37
1,57
1,37
1,29
2,23
2,28
1,35
2,34
2,51
2,41
1,30
1,29
2,23
1,24
1,49
2,49
2,29
2,39
2,39
2,26
2,40
1,23
1,23
1,27
2,30
2,47
1,26
2,27
1,33
1,32
2,54
1,58
1,30
1,40
2,22
1,25
1,31
1,33
2,25
1,22
2,37
2,30
1,29
2,22
2,46
1,32
1,24
1,42
2,43
2,49
2,25
2,29
2,45
2,34
2,34
2,34
2,29
2,28
1,39
1,29
2,46
2,51
1,57
1,56
2,30
2,29
1,22
1,31
1,29
2,32
2,37
1,32
1,24
1,25
2,45
2,22
2,44
2,33
2,26
1,30
2,44
2,49
1,33
2,45
2,32
2,35
1,44
1,53
2,39
2,27
2,37
2,23
1,35
1,43
1,27
2,22
1,38
1,32
2,30
1,63
2,22
2,26
2,24
2,36
1,52
1,38
1,35
2,31
1,47
1,41
2,24
1,41
1,24
1,28
1,26
1,34
2,38
1,37
1,40
2,48
2,35
1,27
1,23
1,52
1,36
1,51
1,55
2,23
1,41
1,34
1,46
2,22
1,34
1,27
2,33
2,51
1,24
1,47
1,28
1,23
1,29
1,29
1,28
2,27
1,34
2,23
2,60
1,32
1,25
1,41
2,56
2,26
1,34
2,37
2,30
1,45
1,57
1,41
1,27
1,47
2,34
2,46
2,27
1,50
1,27
2,35
2,22
1,37
2,30
2,22
2,24
1,29
1,56
1,30
1,30
2,22
2,29
1,37
2,35
2,47
2,24
1,25
2,38
2,32
2,47
2,34
2,31
1,32
2,27
2,29
2,24
1,36
2,24
2,34
2,22
2,34
2,22
2,38
1,31
2,26
1,26
2,48
1,43
1,47
2,41
2,24
2,50
1,24
2,38
2,43
1,39
1,27
1,42
2,36
1,36
2,31
2,38
2,40
2,45
2,35
2,33
2,37
2,28
1,44
1,37
1,23
2,24
2,24
1,23
1,26
1,34
2,33
1,35
2,27
2,31
2,50
2,41
2,28
1,39
2,27
2,32
2,40
2,40
2,75
2,27
1,25
1,46
2,26
1,28
2,26
2,28
2,29
1,25
2,48
2,33
2,43
1,48
2,29
1,29
2,38
2,37
2,37
2,25
1,23
2,49
2,48
1,27
1,32
1,34
2,58
2,33
2,28
2,36
1,40
2,26
1,33
2,31
2,27
1,44
2,30
2,28
2,32
2,46
1,38
2,46
2,25
2,46
1,33
2,22
1,43
1,27
1,29
1,31
2,29
2,36
2,36
1,34
1,37
