age,sex
67,male
22,female
49,male
45,male
53,male
35,male
53,male
35,male
61,male
28,male
25,female
24,female
22,female
60,male
28,female
32,female
53,male
25,male
44,female
31,male
48,male
44,male
48,male
44,male
26,male
36,male
39,male
42,female
34,male
63,male
36,male
27,male
30,male
57,male
33,female
25,male
31,male
37,male
37,male
24,male
30,male
26,male
44,male
24,male
58,female
35,female
39,male
23,female
39,male
28,female
29,male
30,male
25,male
31,male
57,male
26,male
52,male
31,female
23,female
23,female
27,male
50,male
61,male
25,male
26,female
48,male
29,female
22,male
37,male
25,female
30,female
46,male
51,male
41,female
40,male
66,male
34,male
51,male
39,male
22,male
44,female
47,male
24,female
58,female
52,male
29,female
27,female
47,male
30,male
28,male
56,male
54,male
33,female
20,male
54,male
58,male
61,female
34,male
36,male
36,male
41,male
24,male
24,female
35,male
26,male
39,male
39,male
32,male
30,female
35,male
31,male
23,female
28,male
25,female
35,male
47,male
30,female
27,female
23,female
36,male
25,female
41,female
24,male
63,male
27,female
30,male
40,male
30,male
34,male
29,female
24,female
29,male
27,male
47,male
21,female
38,female
27,male
66,male
35,male
44,female
27,male
30,female
27,male
22,male
23,female
30,male
39,female
51,female
28,male
46,male
42,male
38,male
24,male
29,female
36,male
20,female
48,male
45,male
38,male
34,male
36,male
30,female
36,male
70,male
36,male
32,male
33,female
20,female
25,female
31,male
33,male
26,female
34,female
33,male
26,male
53,female
42,male
52,male
31,male
65,male
28,male
30,male
40,male
50,male
36,male
31,male
74,female
68,male
20,male
33,female
54,male
34,male
36,male
29,male
21,male
34,female
28,female
27,female
36,male
40,male
52,male
27,male
26,male
21,male
38,male
38,male
43,male
26,male
21,male
55,male
33,male
45,female
50,male
66,male
51,male
39,female
31,male
23,male
24,male
64,female
26,male
23,female
30,male
32,male
30,male
27,male
27,male
53,male
22,male
22,male
26,male
51,male
35,male
25,male
42,male
30,male
23,male
61,male
35,female
39,male
29,female
51,male
24,male
27,female
35,female
25,male
52,male
35,male
26,male
22,female
39,female
46,female
24,female
35,male
24,male
27,male
35,male
29,male
23,female
57,female
27,male
55,female
36,male
57,female
32,male
37,male
36,male
38,female
45,male
25,male
32,male
37,female
36,male
28,male
34,male
32,male
26,female
49,male
32,female
29,male
23,male
50,male
49,male
63,male
37,male
35,female
26,male
31,male
49,female
48,male
26,male
28,male
44,female
56,male
46,male
26,female
20,female
45,male
43,male
32,male
54,female
42,female
37,male
49,male
44,male
33,male
24,female
33,male
24,female
22,male
40,male
25,male
26,female
25,male
29,male
31,male
38,male
48,female
32,male
27,female
28,male
32,male
34,male
28,male
36,female
39,male
49,male
34,female
31,male
28,male
75,male
30,female
24,female
24,female
23,male
44,male
23,female
24,female
28,male
31,male
24,female
26,female
25,male
33,male
37,male
43,female
23,male
23,female
34,male
32,male
23,female
29,female
38,male
28,male
46,male
23,male
49,male
26,male
28,male
23,female
61,male
37,male
36,female
21,male
25,male
36,male
27,male
22,female
42,male
40,female
36,male
33,male
23,female
63,male
60,female
37,female
34,male
36,male
57,male
52,female
39,male
38,female
25,female
26,male
26,male
25,female
21,female
40,male
27,male
27,female
30,male
19,female
39,male
31,female
31,male
32,male
55,female
46,male
46,male
43,female
39,male
28,male
27,male
27,male
43,male
22,male
43,male
27,male
26,male
28,male
20,female
35,male
42,male
40,male
35,female
35,male
33,male
23,female
31,female
33,female
20,female
30,male
47,male
34,male
25,female
21,male
29,male
46,male
20,male
55,female
74,male
29,male
36,male
33,male
25,male
25,male
23,male
37,female
65,male
26,female
39,male
30,female
29,male
41,male
30,female
41,female
34,female
35,male
55,female
61,male
30,male
29,female
34,male
35,male
31,male
29,female
36,male
35,male
27,female
32,male
37,male
36,male
