Timestamp,Employment_Sector,Monthly_Income_Band,Recourse_Cost_Difficulty,Feasible_Income_Increase,Most_Realistic_Action,Explanation_Preference,Burden_Acceptability,Most_Important_Factor
11/9/2025 8:57:55,Private Sector (Corporate/IT/Finance),LKR 50000-100000,5,5-10%,Opening a new fixed deposit account,Prescriptive,Yes accurate,Transparency
11/9/2025 12:14:46,Private Sector (Corporate/IT/Finance),LKR 50000-100000,3,<5%,Reducing credit card utilization,Prescriptive,No (<10% disparity),Speed
11/9/2025 12:15:50,Unemployed/Student,Below LKR 50000,3,<5%,Increasing formal education,Prescriptive,Yes accurate,Affordability
11/9/2025 12:25:34,Private Sector (Corporate/IT/Finance),LKR 50000-100000,4,5-10%,Opening a new fixed deposit account,Prescriptive,Unsure,Transparency
11/9/2025 12:30:22,Small Business Owner/Entrepreneur,LKR 50000-100000,3,5-10%,Changing employment sector,Descriptive,No (<10% disparity),Speed
11/9/2025 12:31:26,Private Sector (Corporate/IT/Finance),Below LKR 50000,1,10-20%,Reducing credit card utilization,Descriptive,Yes accurate,Transparency
11/9/2025 12:35:36,Unemployed/Student,Below LKR 50000,4,5-10%,Reducing credit card utilization,Prescriptive,Yes accurate,
11/9/2025 12:36:28,Unemployed/Student,LKR 50000-100000,4,10-20%,Reducing credit card utilization,Prescriptive,Yes accurate,
11/9/2025 12:37:13,Unemployed/Student,LKR 100001-200000,4,5-10%,Reducing credit card utilization,Prescriptive,No (<10% disparity),
11/9/2025 12:37:45,Small Business Owner/Entrepreneur,LKR 100001-200000,4,5-10%,Changing employment sector,Prescriptive,Yes accurate,
11/9/2025 12:38:14,Private Sector (Corporate/IT/Finance),LKR 50000-100000,4,10-20%,Opening a new fixed deposit account,Prescriptive,Unsure,
11/9/2025 12:38:21,Private Sector (Corporate/IT/Finance),LKR 50000-100000,3,5-10%,Increasing formal education,Prescriptive,Yes accurate,Transparency
11/9/2025 12:38:39,Unemployed/Student,LKR 100001-200000,3,5-10%,Changing employment sector,Prescriptive,Mixed,
11/9/2025 12:39:25,Unemployed/Student,Below LKR 50000,1,10-20%,Reducing credit card utilization,Prescriptive,Unsure,
11/9/2025 12:40:26,Unemployed/Student,Below LKR 50000,2,>20%,Reducing credit card utilization,Prescriptive,Yes accurate,Transparency
11/9/2025 12:41:01,Unemployed/Student,LKR 50000-100000,3,>20%,Increasing formal education,Prescriptive,Yes accurate,Transparency
